PublicationTitle,DatabaseIDs,PublicationDate,PublicationDOI,StudyType,SegmentationUse,SourceData,TrainingData,LabelData,Code,Modality,FileFormatsSource,FileFormatsTraining,FileFormatsLabel,DataOrigin,SegmentationType,SegmentationMethod,BiologicalScale,Notes
Large-scale automatic reconstruction of neuronal processes from electron microscopy images,N/A,2015,10.1016/j.media.2015.02.001,Software,Quantitative morphometry,Not anymore (Open Connectome Project broken link -> Neurodata),No,No,Github,ssSEM,N/A,N/A,N/A,unclear,Instance,Semi-automated,Tissue (connectomics),Defunct URL but data seems to be hosted on neurodata.io
Efficient semi-automatic 3D segmentation for neuron tracing in electron microscopy images,N/A,2015,10.1016/j.jneumeth.2015.03.005,Software,Proof-of-concept,"Requires separate search (ISBI2012, SNEMI3D)","Requires separate search (ISBI2012, SNEMI3D)",No,No,"ssTEM, ssSEM, SBF SEM","zipped, tiff","zipped, tiff",N/A,"public challenge, other studies from group",Instance,Semi-automated,Tissue (connectomics),One of the datasets was published elsewhere but doesn't seem to be publicly available
High-precision automated reconstruction of neurons with flood-filling networks,N/A,2018,10.1038/s41592-018-0049-4,Software,Quantitative morphometry,No,No,No,Github,SBF SEM,N/A,N/A,N/A,this study,Instance,Automated,Tissue (connectomics),"Data available on ""reasonable request"""
Improving the Neural Segmentation of Blurry Serial SEM Images by Blind Deblurring,N/A,2023,10.1155/2023/8936903,Software,Proof-of-concept,No,No,No,No,SBF SEM,N/A,N/A,N/A,this study,Semantic,Automated,Tissue (connectomics),Data available on request
Reconstruction of genetically identified neurons imaged by serial-section electron microscopy,N/A,2016,10.7554/eLife.15015,Method,Quantitative morphometry,Dryad,N/A,Dryad,N/A,ssTEM,zipped,N/A,zipped,this study,Instance,Manual,Tissue (connectomics),All raw data and segmentations available on Dryad
Attaching organic fibers to mineral: The case of the avian eggshell,N/A,2023,10.1016/j.isci.2023.108425,Biological,Qualitative visualisation,No,No,No,No,"X-ray microCT, FIB SEM",N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,Data available on request
GCLR: A self-supervised representation learning pretext task for glomerular filtration barrier segmentation in TEM images,N/A,2023,10.1016/j.artmed.2023.102720,Software,Proof-of-concept,"No, some requires separate search (MitoEM)","No, some requires separate search (MitoEM)",No,No,SBF SEM,N/A,N/A,N/A,"this study, public data",Semantic,Automated,Tissue,
Morphology of mitochondria in spatially restricted axons revealed by cryo-electron tomography,N/A,2018,10.1371/journal.pbio.2006169,Biological,Quantitative morphometry,No,N/A,No,N/A,Cryo-ET,N/A,N/A,N/A,this study,Instance,Manual,Subcellular,
High-throughput ultrastructure screening using electron microscopy and fluorescent barcoding,N/A,2019,10.1083/jcb.201812081,Method,Quantitative morphometry,No,N/A,No,"Github, institutional - defunct",EM,N/A,N/A,N/A,this study,Instance,Automated,Cellular,Some of the code sources are hosted on defunct institutional pages
Adversarial domain adaptation for cross data source macromolecule in situ structural classification in cellular electron cryo-tomograms,N/A,2019,10.1093/bioinformatics/btz364,Software,Proof-of-concept,No,No,No,Github,Cryo-ET,N/A,N/A,N/A,this study,Instance,Automated,SPA/STA,"Code available on the lab's github, unclear which repo this paper is referring to"
Automatic Reconstruction of Mitochondria and Endoplasmic Reticulum in Electron Microscopy Volumes by Deep Learning,N/A,2020,10.3389/fnins.2020.00599,Software,Proof-of-concept,No,No,No,No,ssTEM,N/A,N/A,N/A,this study,Instance,Automated,Subcellular,"""Datasets are not publicly available because the datasets are being used for other studies. Requests to access the datasets should be directed to …"""
Quantifying Variability of Manual Annotation in Cryo-Electron Tomograms,"EMD-8173, EMD-8174",2016,10.1017/S1431927616000799,Other,Other,EMDB,N/A,EMDB,N/A,Cryo-ET,map,N/A,map,this study,Semantic,Manual,Subcellular,
Particle segmentation algorithm for flexible single particle reconstruction,N/A,2017,10.1007/s41048-017-0038-7,Software,SPA,No,N/A,No,Github,Cryo-EM,N/A,N/A,N/A,"other studies from group, other studies from different group not publicly available",Instance,Automated,SPA/STA,
High-Resolution 3D Reconstruction of Human Oocytes Using Focused Ion Beam Scanning Electron Microscopy,N/A,2021,10.3389/fcell.2021.755740,Method,Quantitative morphometry,No,No,No,N/A,FIB SEM,N/A,N/A,N/A,this study,Semantic,Manual,Subcellular,"""The raw data supporting the conclusions of this article will be made available by the authors, without undue reservation."""
The benefit of thresholding carbon layers in electron tomographic tilt series by intensity downshifting,N/A,2017,10.1111/jmi.12498,Method,Proof-of-concept,No,N/A,No,No,Electron Tomography,N/A,N/A,N/A,other studies from group,Semantic,Unclear,Tissue,
Synchrotron-based phase-contrast micro-CT as a tool for understanding pulmonary vascular pathobiology and the 3-D microanatomy of alveolar capillary dysplasia,N/A,2020,10.1152/ajplung.00103.2019,Method,Qualitative visualisation,No,N/A,No,N/A,Synchrotron X-ray microCT,N/A,N/A,N/A,this study,Semantic,Manual,Tissue (airways),
High-resolution scanning electron microscopy for the analysis of three-dimensional ultrastructure of clots in acute ischemic stroke,N/A,2021,10.1136/neurintsurg-2020-016709,Biological,Quantitative morphometry,No,N/A,No,N/A,SBF SEM,N/A,N/A,N/A,this study,Semantic,Unclear,Tissue,"Scans are of patient samples, data available on reasonable request"
Multi-class segmentation of neuronal structures in electron microscopy images,CCDB-8192,2018,10.1186/s12859-018-2305-0,Software,Proof-of-concept,Requires separate search (Cell-centred database),No,No,No,"SBF SEM, FIB SEM",mrc,N/A,N/A,public data,Instance,Automated,Subcellular,"URL in the article is defunct, but the cell centered database is still online"
Learning normalized inputs for iterative estimation in medical image segmentation,N/A,2018,10.1016/j.media.2017.11.005,Software,Proof-of-concept,Requires separate search (ISBI2012),No,No,No,ssTEM,zipped,N/A,N/A,public challenge,Semantic,Automated,Tissue (connectomics),
An automated workflow for segmenting single adult cardiac cells from large-volume serial block-face scanning electron microscopy data,N/A,2018,10.1016/j.jsb.2018.02.005,Software,Quantitative morphometry,Github,N/A,Github,Github,SBF SEM,zipped,N/A,zipped,this study,Semantic,Semi-automated,Subcellular,Downsampled images only available
3D imaging of the early embryonic chicken heart with focused ion beam scanning electron microscopy,N/A,2014,10.1017/S1431927614000828,Method,Quantitative morphometry,No,N/A,No,N/A,FIB SEM,N/A,N/A,N/A,this study,Semantic,Manual,Tissue,
Semantic segmentation of HeLa cells: An objective comparison between one traditional algorithm and four deep-learning architectures,EMPIAR-10094,2020,10.1371/journal.pone.0230605,Software,Benchmarking,EMPIAR,Zenodo,Zenodo,Github,SBF SEM,dm4,mat,mat,this study,Semantic,Automated,Subcellular,Really well documented with code and data easily available
Residual Deconvolutional Networks for Brain Electron Microscopy Image Segmentation,N/A,2017,10.1109/TMI.2016.2613019,Software,Proof-of-concept,"Requires separate search (ISBI2012, SNEMI3D)",No,No,No,"ssTEM, SBF SEM",zipped,N/A,N/A,public challenge,Semantic,Automated,Tissue (connectomics),
Mineralized scale patterns on the cell periphery of the chrysophyte Mallomonas determined by comparative 3D Cryo-FIB SEM data processing,N/A,2020,10.1016/j.jsb.2019.10.005,Biological,Quantitative morphometry,Institutional - working,N/A,Institutional - working,N/A,Cryo-FIB-SEM,tiff,N/A,tiff,this study,Instance,Manual,Cellular,
Mitochondria Segmentation From EM Images via Hierarchical Structured Contextual Forest,N/A,2020,10.1109/JBHI.2019.2961792,Software,Proof-of-concept,Institutional - working,Institutional - working,No,No,"FIB SEM, SBF SEM",tiff,tiff,N/A,public data,Semantic,Automated,Subcellular,
Sequential semi-supervised segmentation for serial electron microscopy image with small number of labels,N/A,2021,10.1016/j.jneumeth.2021.109066,Software,Proof-of-concept,Requires separate search (ISBI2012),Requires separate search (ISBI2012),No,Github,"ssTEM, SBF SEM",zipped,zipped,N/A,"public challenge, other studies from group, other studies from different group not publicly available",Semantic,Automated,Tissue (connectomics),
DRPnet: automated particle picking in cryo-electron micrographs using deep regression,N/A,2021,10.1186/s12859-020-03948-x,Software,Proof-of-concept,EMPIAR,EMPIAR,No,Github,Cryo-EM,mrc,dat,N/A,public data,N/A,Automated,Particle picker,
Construction of a rat spinal cord atlas of axon morphometry,N/A,2019,10.1016/j.neuroimage.2019.116156,Software,Quantitative morphometry,White Matter Microscopy Database,N/A,Github,Github,SBF SEM,nii,N/A,nii,this study,Instance,Semi-automated,Tissue (connectomics),"Atlas creation, full dataset available"
MSU-Net: Multi-Scale U-Net for 2D Medical Image Segmentation,N/A,2021,10.3389/fgene.2021.639930,Software,Proof-of-concept,Requires separate search (ISBI2012),No,No,Github,"ssTEM, SBF SEM",zipped,N/A,N/A,public challenge,Semantic,Automated,Tissue (connectomics),
Capsid Structure of Aleutian Mink Disease Virus and Human Parvovirus 4: New Faces in the Parvovirus Family Portrait,N/A,2022,10.3390/v14102219,Biological,SPA,No,N/A,EMDB,N/A,Cryo-EM,N/A,N/A,map,this study,N/A,N/A,SPA,Have a closer look to see which terminology is used here
Visual Correspondences for Unsupervised Domain Adaptation on Electron Microscopy Images,N/A,2020,10.1109/TMI.2019.2946462,Software,Proof-of-concept,Some (Github),No,No,No,FIB SEM,tiff,N/A,N/A,public data,Semantic,Automated,Subcellular,
TMD-Unet: Triple-Unet with Multi-Scale Input Features and Dense Skip Connection for Medical Image Segmentation,N/A,2021,10.3390/healthcare9010054,Software,Proof-of-concept,Requires separate search (ISBI2012),No,No,No,ssTEM,zipped,N/A,N/A,public challenge,Semantic,Automated,Tissue (connectomics),
"Myogenesis of Siboglinum fiordicum sheds light on body regionalisation in beard worms (Siboglinidae, Annelida)",N/A,2021,10.1186/s12983-021-00426-9,Biological,Qualitative visualisation,No,N/A,No,N/A,ssTEM,N/A,N/A,N/A,this study,Semantic,Manual,Tissue,All data available by personal request
Automatic detection of synaptic partners in a whole-brain Drosophila electron microscopy data set,N/A,2021,10.1038/s41592-021-01183-7,Software,Proof-of-concept,CREMI,CREMI,No,Github,ssTEM,hdf5,hdf5,N/A,public challenge,Instance,Automated,Tissue (connectomics),"Github is nice and clear, pre-trained models available"
EM-stellar: benchmarking deep learning for electron microscopy image segmentation,N/A,2021,10.1093/bioinformatics/btaa1094,Software,Benchmarking,Github,Github,Github,Github,"FIB SEM, SBF SEM",png,png,png,public data,Semantic,Automated,Subcellular,Platform to compare different DL methods
PickYOLO: Fast deep learning particle detector for annotation of cryo electron tomograms,N/A,2023,10.1016/j.jsb.2023.107990,Software,Particle picker,No,No,No,Gitlab,Cryo-EM,N/A,N/A,N/A,other studies from different group not publicly available,N/A,Automated,Subcellular,
Whole-cell imaging of the budding yeast Saccharomyces cerevisiae by high-voltage scanning transmission electron tomography,N/A,2014,10.1016/j.ultramic.2014.05.008,Method,Qualitative visualisation,No,N/A,No,N/A,"TEM, electron tomography, STEM",N/A,N/A,N/A,this study,Semantic,Manual,Subcellular,
FIB-SEM as a Volume Electron Microscopy Approach to Study Cellular Architectures in SARS-CoV-2 and Other Viral Infections: A Practical Primer for a Virologist,EMPIAR-10677,2021,10.3390/v13040611,Biological,Quantitative morphometry,No (EMPIAR entry does not exist),N/A,No (EMPIAR entry does not exist),N/A,FIB SEM,N/A,N/A,N/A,this study,Semantic,Manual,Tissue,"Crowdsourced annotations, EMPIAR entry doesn't seem to exist (EMPIAR-10677)"
Transverse endoplasmic reticulum expansion in hereditary spastic paraplegia corticospinal axons,N/A,2022,10.1093/hmg/ddac072,Biological,Quantitative morphometry,OpenOrganelle,N/A,No,No,FIB SEM,n5,N/A,N/A,this study,Semantic,Semi-automated,Tissue (connectomics),Used a commercial segmentation service (ariadne.ai). Unclear which OpenOrganelle dataset this publication used
Three-dimensional imaging of Drosophila motor synapses reveals ultrastructural organizational patterns,N/A,2016,10.1080/01677063.2016.1253693,Biological,Quantitative morphometry,No,N/A,No,N/A,Electron tomography,N/A,N/A,N/A,this study,Semantic,Manual,Tissue,
Semi-Supervised Neuron Segmentation via Reinforced Consistency Learning,N/A,2022,10.1109/TMI.2022.3176050,Software,Proof-of-concept,Neurodata,Neurodata,No,Github,ssTEM,Any - accessed with API,Any - accessed with API,N/A,public data,Instance,Automated,Tissue (connectomics),Provided trained models too!
Segmentation of cellular ultrastructures on sparsely labeled 3D electron microscopy images using deep learning,N/A,2023,10.3389/fbinf.2023.1308708,Software,Quantitative morphometry,No,No,No,No,FIB SEM,N/A,N/A,N/A,this study,Instance,Automated,Subcellular,"""The raw data supporting the conclusion of this article will be made available by the authors, without undue reservation"". Tissue was human tumour samples"
Defining Mitochondrial Cristae Morphology Changes Induced by Aging in Brown Adipose Tissue,N/A,2024,10.1002/adbi.202300186,Biological,Quantitative morphometry,No,N/A,No,N/A,SBF SEM,N/A,N/A,N/A,this study,Instance,Manual,Subcellular,
Structure Detection in Three-Dimensional Cellular Cryoelectron Tomograms by Reconstructing Two-Dimensional Annotated Tilt Series,"EMD-4191, EMD-3196, EMD-3913, EMD-3914, EMD-3915, EMD-3917",2022,10.1089/cmb.2021.0606,Software,Proof-of-concept,References other paper,No,No,No,Cryo-ET,N/A,N/A,N/A,public data,Semantic,Automated,Subcellular,Some data only on EMDB and only found through citation
Axon and Myelin Sheath Segmentation in Electron Microscopy Images using Meta Learning,N/A,2022,10.1109/aipr57179.2022.10092238,Software,Proof-of-concept,References other paper,No,No,No,TEM,N/A,N/A,N/A,public data,Semantic,Automated,Tissue (connectomics),
Segmentation and Modelling of the Nuclear Envelope of HeLa Cells Imaged with Serial Block Face Scanning Electron Microscopy,EMPIAR-10094,2019,10.3390/jimaging5090075,Software,Quantitative morphometry,EMPIAR,Zenodo,Github,Github,SBF SEM,dm4,mat,mat,this study,Instance,Automated,Cellular,
Molecular organization of the early stages of nucleosome phase separation visualized by cryo-electron tomography,"EMD-24888, EMD-24901, EMD-24902, EMD-24903, EMD-24914, EMD-24915, EMD-24916, EMD-24917, EMD-24918, EMD-24919, EMD-24920, EMD-24921, EMD-24923, EMD-24924, EMD-24925, EMD-24926, EMD-24904, EMD-24905, EMD-24906, EMD-24907, EMD-24908, EMD-24909, EMD-24910, EMD-24911, EMD-24912, EMD24913",2022,10.1016/j.molcel.2022.06.032,Biological,Quantitative morphometry,EMDB,N/A,EMDB,N/A,Cryo-ET,map,N/A,map,this study,Semantic,Automated,Subcellular,"Closer look to see what they mean by ""segmentation"""
High-throughput segmentation of unmyelinated axons by deep learning,N/A,2022,10.1038/s41598-022-04854-3,Software,Qualitative visualisation,SPARC,SPARC,SPARC,Github,TEM,tiff,xml,png,this study,Semantic,Automated,Tissue (connectomics),SPARC repository has a fair amount of metadata and is nicely curated
Towards unsupervised classification of macromolecular complexes in cryo electron tomography: Challenges and opportunities,EMD-3967. EMD-12749,2022,10.1016/j.cmpb.2022.107017,Software,STA,"SHREC, EMDB",SHREC,No,No,Cryo-EM,"zipped, map",zipped,N/A,"public challenge, public data",N/A,Automated,SPA,
U-RISC: An Annotated Ultra-High-Resolution Electron Microscopy Dataset Challenging the Existing Deep Learning Algorithms,N/A,2022,10.3389/fncom.2022.842760,Dataset,Benchmarking,"Google Drive, MEGA, Baidu Cloud","Google Drive, MEGA, Baidu Cloud",Github,N/A,ssTEM,zipped,zipped,zipped,this study,Semantic,N/A,Cellular,
"AimSeg: A machine-learning-aided tool for axon, inner tongue and myelin segmentation",N/A,2023,10.1371/journal.pcbi.1010845,Software,Proof-of-concept,Zenodo,Zenodo,DIY,Github,TEM,zipped,zipped,N/A,this study,Instance,Semi-automated,Tissue (connectomics),
Interactions between the Trimeric Autotransporter Adhesin EmaA and Collagen Revealed by Three-Dimensional Electron Tomography,N/A,2019,10.1128/JB.00297-19,Biological,STA,No,N/A,No,N/A,Electron tomography,N/A,N/A,N/A,this study,SPA/STA,Manual,SPA/STA,Needs a closer look as they do segmentation and STA here
Tracing the opposing assimilate and nutrient flows in live conifer needles,N/A,2023,10.1093/jxb/erad334,Biological,Quantitative morphometry,No,No,No,No,X-ray microCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,Data available on request
Instance segmentation of mitochondria in electron microscopy images with a generalist deep learning model trained on a diverse dataset,"EMPIAR-11035, EMPIAR-11037, EMPIAR-10982",2023,10.1016/j.cels.2022.12.006,Dataset,Proof-of-concept,EMPIAR,EMPIAR,EMPIAR,"Github, Zenodo",EM,tiff,tiff,tiff,"other studies from group, public data",Instance,Automated,Subcellular,
3D reconstruction of the cerebellar germinal layer reveals tunneling connections between developing granule cells,N/A,2023,10.1126/sciadv.adf3471,Biological,Quantitative morphometry,BossDB,N/A,BossDB,Github,ssSEM,Any - accessed with API,N/A,Any - accessed with API,this study,Instance,Semi-automated,Tissue (connectomics),
From voxels to knowledge: a practical guide to the segmentation of complex electron microscopy 3D-data,N/A,2014,10.3791/51673,Method,Proof-of-concept,No,No,No,No,"FIB SEM, SBF SEM",N/A,N/A,N/A,other studies from group,Semantic,Semi-automated,Any,"Review of different approaches to segmentation, more of a practical guide"
An AI-based approach for detecting cells and microbial byproducts in low volume scanning electron microscope images of biofilms,N/A,2022,10.3389/fmicb.2022.996400,Software,Proof-of-concept,No,No,No,No,SEM,N/A,N/A,N/A,this study,Semantic,Automated,Tissue,Data available on request
A morphometric analysis of the osteocyte canaliculus using applied automatic semantic segmentation by machine learning,N/A,2022,10.1007/s00774-022-01321-x,Software,Quantitative morphometry,No,No,No,No,FIB SEM,N/A,N/A,N/A,this study,Semantic,Automated,Tissue,
Towards Generalizable Organelle Segmentation in Volume Electron Microscopy,N/A,2023,10.1093/micmic/ozad067.487,Dataset,Dataset,OpenOrganelle,N/A,OpenOrganelle,Github,FIB SEM,n5,N/A,n5,other studies from group,Instance,Manual,Subcellular,Short article describing Open Organelle (though this is not the main Open Organelle paper)
Deep neural network automated segmentation of cellular structures in volume electron microscopy,N/A,2023,10.1083/jcb.202208005,Software,Quantitative morphometry,OpenOrganelle,No,OpenOrganelle,Github,FIB SEM,"zarr, tiff",N/A,"zarr, tiff",this study,Semantic,Automated,Subcellular,"Acquired for this study, open organelle. Data depsoited in S3 buckets with QuiltData"
Segmentation by classification: A novel and reliable approach for semi-automatic selection of HIV/SIV envelope spikes,N/A,2020,10.1016/j.jsb.2019.107426,Software,Proof-of-concept,No,N/A,No,Website - working,Cryo-ET,N/A,N/A,N/A,this study,Semantic,Semi-automated,Subcellular,"Only code is available online, link to the protomo website https://electrontomography.org/"
Sparse Scanning Electron Microscopy Data Acquisition and Deep Neural Networks for Automated Segmentation in Connectomics,N/A,2020,10.1017/S1431927620001361,Method,Proof-of-concept,No,No,No,No,SEM,N/A,N/A,N/A,this study,Semantic,Automated,Cellular,
AMST: Alignment to Median Smoothed Template for Focused Ion Beam Scanning Electron Microscopy Image Stacks,"EMPIAR-10311, EMPIAR-10310",2020,10.1038/s41598-020-58736-7,Method,Proof-of-concept,EMPIAR,No,No,No,FIB SEM,tiff,N/A,N/A,this study,Semantic,Automated,Subcellular,"Raw data on EMPIAR but not segmentation, though segmentation was just used to qualitatively show their alignment method works"
Automatic identification of crossovers in cryo-EM images of murine amyloid protein A fibrils with machine learning,N/A,2020,10.1111/jmi.12858,Software,Proof-of-concept,No,No,No,No,Cryo-EM,N/A,N/A,N/A,other studies from group,Semantic,Automated,Subcellular,Data on EMDB but you have to go to another cited paper to find this out. Only the Cryo-EM structure from SPA was deposited.
Presynaptic Mitochondria Volume and Abundance Increase during Development of a High-Fidelity Synapse,N/A,2019,10.1523/JNEUROSCI.0363-19.2019,Biological,Quantitative morphometry,Mendeley,N/A,Mendeley,Mendeley,SBF SEM,tiff,N/A,"obj, blender, am",this study,Instance,Semi-automated,Subcellular,
Automatic Segmentation of Pathological Glomerular Basement Membrane in Transmission Electron Microscopy Images with Random Forest Stacks,N/A,2019,10.1155/2019/1684218,Software,Proof-of-concept,No,No,No,No,TEM,N/A,N/A,N/A,this study,Semantic,Semi-automated,Cellular,Data available on request
Learning cellular morphology with neural networks,N/A,2019,10.1038/s41467-019-10836-3,Software,Proof-of-concept,No,No,No,Github,SBF SEM,N/A,N/A,N/A,other studies from group,Instance,Semi-automated,Subcellular,Data available on request
DSeg: A Dynamic Image Segmentation Program to Extract Backbone Patterns for Filamentous Bacteria and Hyphae Structures,N/A,2019,10.1017/S1431927619000308,Software,Quantitative morphometry,No,N/A,No,No,TEM,N/A,N/A,N/A,this study,Instance,Automated,Cellular,"Code is supposed to be on sourceforge but can't easily find a link. However it's there in the supplementary data, though you have to download the supplementary data to find this out."
Structural design of the minute clypeasteroid echinoid Echinocyamus pusillus,N/A,2018,10.1098/rsos.171323,Biological,Quantitative morphometry,Dryad,N/A,No,N/A,"X-ray microCT, SEM",zipped,N/A,N/A,this study,Semantic,Manual,Tissue,Data deposited in Dryad
Neuron Segmentation With High-Level Biological Priors,N/A,2018,10.1109/TMI.2017.2712360,Software,Proof-of-concept,References other paper,No,No,"Might be part of Ilastik, but unsure.","FIB SEM, ssTEM",N/A,N/A,N/A,other studies from group,Instance,Automated,Tissue (connectomics),Unclear where first dataset comes from. Second dataset is from Open Connectome but you have to go to the cited paper and read more closely to find out
Automatic Mitochondria Segmentation for EM Data Using a 3D Supervised Convolutional Network,N/A,2018,10.3389/fnana.2018.00092,Software,Proof-of-concept,Institutional - working; Institutional - defunct,No,Institutional - working; Institutional - defunct,No,"ATUM SEM, FIB SEM",tiff,N/A,tiff,"this study, other studies from different group publicly available",Instance,Automated,Subcellular,"Institutional EPFL repository, you have to manually figure out which one of the datasets was used in this paper as it links to their general data repository for the group. One of the URLs was defunct"
CDeep3M-Plug-and-Play cloud-based deep learning for image segmentation,N/A,2018,10.1038/s41592-018-0106-z,Software,Proof-of-concept,"Some (Cell Image Library, Github, own website - working)",Some (Github),No,Github,Any,png,png,N/A,this study,Any,Automated ,Any,Sample data on Github and Cell Image Library. This is a platform for running deep learning segmentation. Many example datasets at their website https://cdeep3m.crbs.ucsd.edu/home/pre_trained_models for pre-trained models
Fully-Automatic Synapse Prediction and Validation on a Large Data Set,N/A,2018,10.3389/fncir.2018.00087,Software,Proof-of-concept,Institutional - working (FlyEM),No,No,Github,FIB SEM,Any - accessed with API,N/A,N/A,public data,Instance,Automated,Tissue (connectomics),Janelia FlyEM
Three-dimensional visualization and a deep-learning model reveal complex fungal parasite networks in behaviorally manipulated ants,N/A,2017,10.1073/pnas.1711673114,Biological,Quantitative morphometry,Institutional - working,No,No,"Maybe, references another paper for method",SBF SEM,dm4,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
DeepEM3D: approaching human-level performance on 3D anisotropic EM image segmentation,N/A,2017,10.1093/bioinformatics/btx188,Software,Proof-of-concept,Requires separate search (SNEMI3D),Requires separate search (SNEMI3D),DIY,Github,ssSEM,tiff,tiff,N/A,public challenge,Instance,Automated,Tissue (connectomics),SNEMI3D URL does not work anymore (brainiac2.mit.edu/SNEMI3D)
Quantifying Mesoscale Neuroanatomy Using X-Ray Microtomography,N/A,2017,10.1523/ENEURO.0195-17.2017,Software,Quantitative morphometry,Github,Github,DIY,Github,Synchrotron X-ray microCT,tiff,nrrd,N/A,this study,Semantic,Automated,Tissue (connectomics),"Calculated quality metrics of their annotations, including interrater reliability"
A validated active contour method driven by parabolic arc model for detection and segmentation of mitochondria,EMD-6471,2016,10.1016/j.jsb.2016.03.002,Software,Proof-of-concept,Requires separate search (Cell-centred database),N/A,No,No,Electron tomography,N/A,N/A,N/A,public data,Semantic,Automated,Subcellular,
Deep models for brain EM image segmentation: novel insights and improved performance,N/A,2016,10.1093/bioinformatics/btw165,Software,Proof-of-concept,Requires separate search (ISBI2012),No,No,Github,ssTEM,zipped,N/A,N/A,public challenge,Instance,Automated,Tissue (connectomics),
Hierarchical detection and analysis of macromolecular complexes in cryo-electron tomograms using Pyto software,N/A,2016,10.1016/j.jsb.2016.10.004,Software,Quantitative morphometry,No,N/A,No,No,Cryo-ET,N/A,N/A,N/A,this study,Semantic,Automated,Subcellular,"""Pyto is completely open-source and it is available on demand."""
3-dimensional electron microscopic imaging of the zebrafish olfactory bulb and dense reconstruction of neurons,N/A,2016,10.1038/sdata.2016.100,Dataset,Proof-of-concept,"Neurodata, Zenodo",N/A,"Neurodata, Zenodo",Github,SBF SEM,"tiff, Any - accessed with API",N/A,nmx,this study,Instance,N/A,Tissue (connectomics),Neurodata/pyknossos paper
A context-aware delayed agglomeration framework for electron microscopy segmentation,N/A,2015,10.1371/journal.pone.0125825,Software,Proof-of-concept,Institutional - working (FlyEM),No,DIY,Github,"FIB SEM, ssTEM",tiff,N/A,N/A,other studies from group,Instance,Semi-automated,Tissue (connectomics),
Automated tracing of myelinated axons and detection of the nodes of Ranvier in serial images of peripheral nerves,N/A,2015,10.1111/jmi.12266,Software,Quantitative morphometry,Institutional - defunct,Institutional - defunct,Institutional - defunct,Institutional - defunct,SBF SEM ,N/A,N/A,N/A,other studies from group,Instance,Automated,Tissue (connectomics),Data doesn't seem to be on the institutional repository anymore
